timestamp,open,high,low,close,volume,date
1772377200000,1.3809,1.3829,1.3809,1.3822,815.8,2026-03-01 15:00:00
1772377500000,1.3819,1.3832,1.3814,1.3832,729.5,2026-03-01 15:05:00
1772377800000,1.3841,1.3864,1.3827,1.3864,54912.3,2026-03-01 15:10:00
1772378100000,1.3865,1.3883,1.3865,1.3867,3205.1,2026-03-01 15:15:00
1772378400000,1.3848,1.3859,1.3847,1.3847,697.2,2026-03-01 15:20:00
1772378700000,1.3849,1.3849,1.3842,1.3842,637.6,2026-03-01 15:25:00
1772379000000,1.3852,1.3884,1.3851,1.3884,1466.8,2026-03-01 15:30:00
1772379300000,1.3893,1.3893,1.3876,1.3888,2557.6,2026-03-01 15:35:00
1772379600000,1.3885,1.39,1.3885,1.39,72.8,2026-03-01 15:40:00
1772379900000,1.3867,1.3867,1.3867,1.3867,3566.0,2026-03-01 15:45:00
1772380200000,1.3873,1.3873,1.387,1.387,325.8,2026-03-01 15:50:00
1772380500000,1.3838,1.3854,1.3818,1.3831,3348.2,2026-03-01 15:55:00
1772380800000,1.3775,1.3834,1.3747,1.3825,5352.8,2026-03-01 16:00:00
1772381100000,1.3833,1.3847,1.3829,1.3847,727.9,2026-03-01 16:05:00
1772381400000,1.3862,1.3862,1.3833,1.3833,14.4,2026-03-01 16:10:00
1772381700000,1.3821,1.3828,1.3816,1.3828,426.3,2026-03-01 16:15:00
1772382000000,1.3822,1.3822,1.3802,1.3803,575.1,2026-03-01 16:20:00
1772382300000,1.3845,1.3845,1.3845,1.3845,150.0,2026-03-01 16:25:00
1772382600000,1.3827,1.3835,1.3827,1.3835,375.0,2026-03-01 16:30:00
1772382900000,1.3837,1.3842,1.3835,1.3835,14603.9,2026-03-01 16:35:00
1772383200000,1.3825,1.3825,1.3812,1.3812,665.2,2026-03-01 16:40:00
1772383500000,1.3805,1.3805,1.3647,1.3657,4837.2,2026-03-01 16:45:00
1772383800000,1.3678,1.3692,1.3607,1.3671,8059.8,2026-03-01 16:50:00
1772384100000,1.3702,1.3717,1.3693,1.3693,1475.7,2026-03-01 16:55:00
