timestamp,open,high,low,close,volume,date
1772377200000,66843.79,66972.86,66843.79,66970.7,0.08251,2026-03-01 15:00:00
1772377500000,66951.67,67006.97,66869.67,66974.92,0.30109,2026-03-01 15:05:00
1772377800000,67013.83,67115.1,66967.26,67115.1,0.10411,2026-03-01 15:10:00
1772378100000,67130.0,67212.3,67130.0,67180.03,0.26879,2026-03-01 15:15:00
1772378400000,67123.64,67154.27,67035.8,67035.8,0.07807,2026-03-01 15:20:00
1772378700000,67147.75,67186.12,67105.39,67105.39,0.35359,2026-03-01 15:25:00
1772379000000,67090.71,67154.12,67090.71,67154.12,0.19146,2026-03-01 15:30:00
1772379300000,67205.72,67205.72,67116.87,67186.65,0.1045,2026-03-01 15:35:00
1772379600000,67144.81,67218.34,67144.81,67174.1,0.09555,2026-03-01 15:40:00
1772379900000,67188.31,67221.84,67188.31,67221.84,0.0003,2026-03-01 15:45:00
1772380200000,67226.83,67226.83,67109.98,67109.98,0.06315,2026-03-01 15:50:00
1772380500000,67136.09,67144.91,66809.92,66870.52,0.47673,2026-03-01 15:55:00
1772380800000,66899.0,67020.84,66679.02,66975.62,0.53442,2026-03-01 16:00:00
1772381100000,66963.45,66963.45,66882.56,66947.8,0.34114,2026-03-01 16:05:00
1772381400000,67005.98,67008.34,66966.16,66966.16,0.36294,2026-03-01 16:10:00
1772381700000,66969.49,67020.92,66934.26,66963.1,0.31762,2026-03-01 16:15:00
1772382000000,66945.99,66945.99,66830.61,66941.02,0.14772,2026-03-01 16:20:00
1772382300000,67013.26,67108.45,67002.64,67036.16,0.05154,2026-03-01 16:25:00
1772382600000,67021.8,67029.95,66971.66,67029.95,0.23092,2026-03-01 16:30:00
1772382900000,67071.42,67071.42,67000.83,67012.54,0.04555,2026-03-01 16:35:00
1772383200000,66987.77,66987.77,66911.72,66911.72,0.06715,2026-03-01 16:40:00
1772383500000,66818.07,66818.07,65934.3,66078.98,1.5508,2026-03-01 16:45:00
1772383800000,66116.0,66182.02,65838.64,66100.66,2.61897,2026-03-01 16:50:00
1772384100000,66165.41,66199.61,66089.8,66165.09,0.60003,2026-03-01 16:55:00
1772384400000,66131.51,66209.8,66022.65,66136.5,1.07463,2026-03-01 17:00:00
1772384700000,66130.7,66214.31,66105.99,66174.88,0.20888,2026-03-01 17:05:00
1772385000000,66202.07,66221.81,66031.4,66111.71,1.19447,2026-03-01 17:10:00
1772385300000,66130.33,66130.33,65718.24,65800.72,0.30713,2026-03-01 17:15:00
1772385600000,65845.55,66043.24,65791.16,66043.24,0.44418,2026-03-01 17:20:00
1772385900000,66023.07,66050.43,65970.73,65997.32,0.07314,2026-03-01 17:25:00
1772386200000,66053.85,66069.13,65972.88,66053.73,0.21716,2026-03-01 17:30:00
1772386500000,66050.92,66120.75,66050.92,66060.27,0.30443,2026-03-01 17:35:00
1772386800000,66065.84,66081.88,66012.24,66012.24,0.06807,2026-03-01 17:40:00
1772387100000,65947.72,66091.99,65947.72,66023.5,0.36117,2026-03-01 17:45:00
1772387400000,66034.25,66114.05,66034.25,66075.21,0.20101,2026-03-01 17:50:00
1772387700000,66002.48,66058.15,66002.48,66039.03,0.16985,2026-03-01 17:55:00
1772388000000,66046.19,66498.72,66005.48,66440.64,0.51984,2026-03-01 18:00:00
1772388300000,66440.65,66600.6,66424.41,66503.65,0.14371,2026-03-01 18:05:00
