timestamp,open,high,low,close,volume,date
1772377200000,54.31,54.31,54.31,54.31,0.0,2026-03-01 15:00:00
1772377500000,54.33,54.41,54.3,54.41,0.616,2026-03-01 15:05:00
1772377800000,54.45,54.45,54.37,54.4,0.777,2026-03-01 15:10:00
1772378100000,54.45,54.5,54.45,54.5,0.222,2026-03-01 15:15:00
1772378400000,54.45,54.45,54.45,54.45,0.111,2026-03-01 15:20:00
1772378700000,54.45,54.45,54.45,54.45,0.0,2026-03-01 15:25:00
1772379000000,54.45,54.45,54.45,54.45,0.0,2026-03-01 15:30:00
1772379300000,54.45,54.45,54.45,54.45,0.0,2026-03-01 15:35:00
1772379600000,54.45,54.45,54.45,54.45,0.0,2026-03-01 15:40:00
1772379900000,54.52,54.54,54.52,54.54,0.222,2026-03-01 15:45:00
1772380200000,54.54,54.54,54.54,54.54,0.0,2026-03-01 15:50:00
1772380500000,54.54,54.54,54.54,54.54,0.0,2026-03-01 15:55:00
1772380800000,54.54,54.54,54.54,54.54,0.0,2026-03-01 16:00:00
1772381100000,54.47,54.47,54.47,54.47,0.11,2026-03-01 16:05:00
1772381400000,54.47,54.47,54.47,54.47,0.0,2026-03-01 16:10:00
1772381700000,54.47,54.47,54.47,54.47,0.0,2026-03-01 16:15:00
1772382000000,54.2,54.2,54.2,54.2,0.368,2026-03-01 16:20:00
1772382300000,54.2,54.2,54.2,54.2,0.0,2026-03-01 16:25:00
1772382600000,54.36,54.39,54.36,54.39,2.0,2026-03-01 16:30:00
1772382900000,54.39,54.39,54.39,54.39,0.0,2026-03-01 16:35:00
1772383200000,54.39,54.39,54.39,54.39,0.0,2026-03-01 16:40:00
1772383500000,53.77,53.77,53.77,53.77,0.092,2026-03-01 16:45:00
1772383800000,53.4,53.4,53.38,53.38,0.244,2026-03-01 16:50:00
1772384100000,53.69,53.69,53.69,53.69,0.186,2026-03-01 16:55:00
1772384400000,53.68,53.68,53.68,53.68,0.204,2026-03-01 17:00:00
1772384700000,53.65,53.65,53.65,53.65,0.209,2026-03-01 17:05:00
