timestamp,open,high,low,close,volume,date
1772377200000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:00:00
1772377500000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:05:00
1772377800000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:10:00
1772378100000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:15:00
1772378400000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:20:00
1772378700000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:25:00
1772379000000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:30:00
1772379300000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:35:00
1772379600000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:40:00
1772379900000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:45:00
1772380200000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:50:00
1772380500000,1.794,1.794,1.794,1.794,0.0,2026-03-01 15:55:00
1772380800000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:00:00
1772381100000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:05:00
1772381400000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:10:00
1772381700000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:15:00
1772382000000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:20:00
1772382300000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:25:00
1772382600000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:30:00
1772382900000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:35:00
1772383200000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:40:00
1772383500000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:45:00
1772383800000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:50:00
1772384100000,1.794,1.794,1.794,1.794,0.0,2026-03-01 16:55:00
1772384400000,1.794,1.794,1.794,1.794,0.0,2026-03-01 17:00:00
1772384700000,1.837,1.837,1.837,1.837,0.88,2026-03-01 17:05:00
1772385000000,1.837,1.837,1.837,1.837,0.0,2026-03-01 17:10:00
1772385300000,1.794,1.832,1.794,1.832,8.31,2026-03-01 17:15:00
1772385600000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:20:00
1772385900000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:25:00
1772386200000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:30:00
1772386500000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:35:00
1772386800000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:40:00
1772387100000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:45:00
1772387400000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:50:00
1772387700000,1.832,1.832,1.832,1.832,0.0,2026-03-01 17:55:00
1772388000000,1.832,1.832,1.832,1.832,8.16,2026-03-01 18:00:00
1772388300000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:05:00
1772388600000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:10:00
1772388900000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:15:00
1772389200000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:20:00
1772389500000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:25:00
1772389800000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:30:00
1772390100000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:35:00
1772390400000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:40:00
1772390700000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:45:00
1772391000000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:50:00
1772391300000,1.832,1.832,1.832,1.832,0.0,2026-03-01 18:55:00
1772391600000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:00:00
1772391900000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:05:00
1772392200000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:10:00
1772392500000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:15:00
1772392800000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:20:00
1772393100000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:25:00
1772393400000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:30:00
1772393700000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:35:00
1772394000000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:40:00
1772394300000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:45:00
1772394600000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:50:00
1772394900000,1.832,1.832,1.832,1.832,0.0,2026-03-01 19:55:00
