timestamp,open,high,low,close,volume,date
1772377200000,86.05,86.14,86.05,86.14,5.1,2026-03-01 15:00:00
1772377500000,86.05,86.14,85.9,86.14,12.125,2026-03-01 15:05:00
1772377800000,86.13,86.28,86.13,86.28,6.655,2026-03-01 15:10:00
1772378100000,86.35,86.35,86.35,86.35,0.035,2026-03-01 15:15:00
1772378400000,86.35,86.39,86.3,86.3,1.154,2026-03-01 15:20:00
1772378700000,86.28,86.28,86.23,86.23,3.263,2026-03-01 15:25:00
1772379000000,86.23,86.23,86.23,86.23,0.0,2026-03-01 15:30:00
1772379300000,86.43,86.43,86.33,86.38,19.443,2026-03-01 15:35:00
1772379600000,86.42,86.59,86.42,86.46,27.994,2026-03-01 15:40:00
1772379900000,86.39,86.39,86.36,86.36,6.681,2026-03-01 15:45:00
1772380200000,86.4,86.41,86.31,86.31,76.015,2026-03-01 15:50:00
1772380500000,86.19,86.19,85.65,85.65,20.767,2026-03-01 15:55:00
1772380800000,85.65,85.97,85.36,85.97,20.895,2026-03-01 16:00:00
1772381100000,86.05,86.05,85.91,85.91,0.463,2026-03-01 16:05:00
1772381400000,86.0,86.0,85.9,85.9,3.979,2026-03-01 16:10:00
1772381700000,85.77,85.77,85.76,85.76,0.318,2026-03-01 16:15:00
1772382000000,85.63,85.69,85.63,85.69,3.414,2026-03-01 16:20:00
1772382300000,85.9,85.9,85.9,85.9,0.175,2026-03-01 16:25:00
1772382600000,85.91,85.91,85.88,85.88,4.142,2026-03-01 16:30:00
1772382900000,85.87,85.87,85.87,85.87,0.174,2026-03-01 16:35:00
1772383200000,85.87,85.87,85.87,85.87,0.0,2026-03-01 16:40:00
1772383500000,85.58,85.58,84.41,84.41,120.616,2026-03-01 16:45:00
1772383800000,84.24,84.35,83.85,84.14,57.696,2026-03-01 16:50:00
1772384100000,84.23,84.31,84.23,84.31,0.272,2026-03-01 16:55:00
1772384400000,83.93,84.04,83.8,84.04,3.32,2026-03-01 17:00:00
1772384700000,84.01,84.2,84.01,84.18,1.743,2026-03-01 17:05:00
1772385000000,84.21,84.22,84.06,84.07,26.198,2026-03-01 17:10:00
1772385300000,84.13,84.13,83.36,83.45,13.864,2026-03-01 17:15:00
1772385600000,83.25,83.53,83.23,83.39,12.114,2026-03-01 17:20:00
1772385900000,83.67,83.67,83.67,83.67,0.53,2026-03-01 17:25:00
1772386200000,83.66,83.72,83.66,83.72,6.732,2026-03-01 17:30:00
1772386500000,83.84,84.15,83.84,84.15,12.168,2026-03-01 17:35:00
1772386800000,84.04,84.04,84.04,84.04,0.57,2026-03-01 17:40:00
1772387100000,83.94,84.13,83.94,84.13,8.427,2026-03-01 17:45:00
1772387400000,84.25,84.26,84.2,84.2,2.947,2026-03-01 17:50:00
1772387700000,84.08,84.08,83.9,83.9,8.793,2026-03-01 17:55:00
1772388000000,83.97,84.58,83.97,84.58,8.911,2026-03-01 18:00:00
1772388300000,84.58,84.97,84.58,84.97,11.611,2026-03-01 18:05:00
1772388600000,84.66,84.66,84.57,84.57,2.817,2026-03-01 18:10:00
1772388900000,84.48,84.73,84.48,84.73,20.078,2026-03-01 18:15:00
1772389200000,84.39,84.39,84.31,84.31,3.133,2026-03-01 18:20:00
1772389500000,84.23,84.23,84.23,84.23,3.115,2026-03-01 18:25:00
1772389800000,84.23,84.36,84.23,84.36,12.269,2026-03-01 18:30:00
1772390100000,84.37,84.44,84.37,84.44,14.316,2026-03-01 18:35:00
1772390400000,84.44,84.44,84.44,84.44,0.0,2026-03-01 18:40:00
1772390700000,84.28,84.28,84.28,84.28,9.306,2026-03-01 18:45:00
1772391000000,84.06,84.06,84.04,84.04,5.914,2026-03-01 18:50:00
1772391300000,84.0,84.0,83.9,83.9,14.996,2026-03-01 18:55:00
1772391600000,83.97,83.97,83.95,83.95,2.14,2026-03-01 19:00:00
1772391900000,83.83,83.84,83.78,83.82,36.181,2026-03-01 19:05:00
1772392200000,83.87,83.88,83.6,83.6,3.717,2026-03-01 19:10:00
1772392500000,83.57,83.57,83.57,83.57,3.402,2026-03-01 19:15:00
1772392800000,83.57,83.57,83.57,83.57,0.0,2026-03-01 19:20:00
1772393100000,83.41,83.41,83.35,83.41,1.288,2026-03-01 19:25:00
1772393400000,83.46,83.53,83.36,83.36,9.586,2026-03-01 19:30:00
1772393700000,83.48,83.48,83.48,83.48,0.356,2026-03-01 19:35:00
1772394000000,83.55,83.55,83.19,83.19,8.675,2026-03-01 19:40:00
1772394300000,83.31,83.31,83.31,83.31,0.199,2026-03-01 19:45:00
1772394600000,83.13,83.23,83.06,83.23,2.941,2026-03-01 19:50:00
1772394900000,83.23,83.23,83.23,83.23,0.971,2026-03-01 19:55:00
1772395200000,83.21,83.21,83.0,83.14,3.59,2026-03-01 20:00:00
1772395500000,82.99,83.02,82.76,82.8,10.509,2026-03-01 20:05:00
1772395800000,82.8,82.8,82.41,82.5,44.077,2026-03-01 20:10:00
1772396100000,82.56,82.56,82.41,82.42,7.257,2026-03-01 20:15:00
1772396400000,82.42,82.56,82.36,82.36,14.115,2026-03-01 20:20:00
1772396700000,82.44,82.46,82.41,82.46,11.048,2026-03-01 20:25:00
1772397000000,82.22,82.4,82.09,82.28,39.856,2026-03-01 20:30:00
1772397300000,82.24,82.24,81.8,81.92,39.694,2026-03-01 20:35:00
1772397600000,81.77,81.85,81.67,81.85,97.63,2026-03-01 20:40:00
1772397900000,82.01,82.01,81.78,81.84,11.748,2026-03-01 20:45:00
1772398200000,81.98,82.0,81.98,82.0,4.67,2026-03-01 20:50:00
1772398500000,81.93,82.06,81.93,82.06,3.458,2026-03-01 20:55:00
1772398800000,82.07,82.08,82.05,82.05,7.193,2026-03-01 21:00:00
1772399100000,82.03,82.14,82.03,82.14,6.193,2026-03-01 21:05:00
1772399400000,82.28,82.49,82.28,82.49,1.401,2026-03-01 21:10:00
1772399700000,82.61,82.61,82.49,82.49,4.362,2026-03-01 21:15:00
